chr	gene	gene_id	start	end	direction	gene_name
1	gene	ENSG00000142609.13	1853726	1935153	-	C1orf222
1	gene	ENSG00000233542.1	1944652	1946969	-	RP11-547D24.1
1	gene	ENSG00000187730.6	1950780	1962192	+	GABRD
1	gene	ENSG00000226969.1	1980642	1981509	-	RP11-547D24.3
1	gene	ENSG00000067606.11	1981909	2106752	+	PRKCZ
1	gene	ENSG00000271806.1	2072523	2076718	-	RP5-892K4.1
1	gene	ENSG00000182873.4	2113233	2115828	-	RP11-181G12.2
1	gene	ENSG00000162585.12	2115903	2139172	-	C1orf86
1	gene	ENSG00000269554.1	2121237	2123179	+	AL590822.2
1	gene	ENSG00000203301.2	2143360	2145620	-	AL590822.1
1	gene	ENSG00000234396.3	2151974	2152177	+	RP11-181G12.4
1	gene	ENSG00000157933.9	2160134	2241558	+	SKI
1	gene	ENSG00000116151.9	2252692	2323146	-	MORN1
1	gene	ENSG00000272161.1	2257640	2258132	-	RP4-713A8.1
1	gene	ENSG00000269753.1	2258581	2259042	+	AL589739.1
1	gene	ENSG00000269896.1	2281853	2284259	-	RP4-740C4.6
1	gene	ENSG00000272420.1	2294500	2295067	-	RP4-740C4.7
1	gene	ENSG00000271921.1	2306292	2306792	-	RP4-740C4.9
1	gene	ENSG00000271847.1	2309056	2309493	-	RP4-740C4.8
1	gene	ENSG00000178642.5	2316811	2319922	+	AL513477.1
1	gene	ENSG00000157916.14	2323267	2336235	+	RER1
1	gene	ENSG00000157911.5	2336884	2345236	-	PEX10
1	gene	ENSG00000149527.13	2357419	2436965	+	PLCH2
1	gene	ENSG00000224387.1	2423739	2424697	-	RP3-395M20.2
1	gene	ENSG00000229393.1	2424876	2425918	-	RP3-395M20.3
1	gene	ENSG00000157881.9	2439972	2458039	-	PANK4
1	gene	ENSG00000197921.5	2460184	2461684	-	HES5
1	gene	ENSG00000272449.1	2477904	2478899	+	RP3-395M20.12
1	gene	ENSG00000238164.2	2481359	2488470	-	RP3-395M20.8
1	gene	ENSG00000157873.13	2488136	2496821	+	TNFRSF14
1	gene	ENSG00000225931.3	2497849	2501327	+	RP3-395M20.7
1	gene	ENSG00000228037.1	2512999	2515972	+	RP3-395M20.9
1	gene	ENSG00000157870.10	2517930	2522908	+	FAM213B
1	gene	ENSG00000142606.11	2522996	2564481	-	MMEL1
1	gene	ENSG00000237058.1	2564007	2568059	+	RP13-436F16.1
1	gene	ENSG00000215912.7	2567415	2718286	-	TTC34
1	gene	ENSG00000233234.1	2728415	2729257	-	RP11-740P5.2
1	gene	ENSG00000231630.1	2730997	2731563	-	RP11-740P5.3
1	gene	ENSG00000169717.5	2938046	2939465	+	ACTRT2
1	gene	ENSG00000177133.6	2976179	2985001	-	LINC00982
1	gene	ENSG00000142611.12	2985732	3355185	+	PRDM16
1	gene	ENSG00000226286.1	3049491	3050273	-	RP1-163G9.2
1	gene	ENSG00000272235.1	3223200	3226660	-	RP11-22L13.1
1	gene	ENSG00000130762.10	3370990	3397677	+	ARHGEF16
1	gene	ENSG00000272088.1	3403810	3404191	+	RP11-168F9.2
1	gene	ENSG00000162591.11	3406484	3528059	-	MEGF6
1	gene	ENSG00000207776.1	3477259	3477354	-	MIR551A
1	gene	ENSG00000238260.1	3539754	3541307	-	RP11-46F15.2
1	gene	ENSG00000158109.10	3541566	3546691	+	TPRG1L
1	gene	ENSG00000116213.11	3547331	3569325	-	WRAP73
1	gene	ENSG00000078900.10	3569084	3652547	+	TP73
1	gene	ENSG00000227589.1	3575502	3585336	-	RP5-1092A11.5
1	gene	ENSG00000235131.1	3628764	3630862	-	RP5-1092A11.2
1	gene	ENSG00000227372.6	3652766	3663900	-	TP73-AS1
1	gene	ENSG00000162592.4	3668962	3688209	+	CCDC27
1	gene	ENSG00000235169.3	3689352	3692546	+	SMIM1
1	gene	ENSG00000130764.5	3696784	3713068	-	LRRC47
1	gene	ENSG00000266075.1	3699379	3699673	+	RN7SL574P
1	gene	ENSG00000272153.1	3701572	3702102	+	RP1-286D6.5
1	gene	ENSG00000116198.8	3728645	3773778	-	CEP104
1	gene	ENSG00000169598.11	3773845	3801993	+	DFFB
1	gene	ENSG00000198912.6	3805689	3816849	-	C1orf174
1	gene	ENSG00000236423.1	3816936	3833789	+	RP13-15E13.1
1	gene	ENSG00000233304.1	4000673	4015322	+	RP13-614K11.1
1	gene	ENSG00000226374.1	4007209	4009040	-	RP13-614K11.2
1	gene	ENSG00000229280.1	4235588	4235959	-	RP11-374C13.1
1	gene	ENSG00000235054.1	4472111	4484747	+	RP5-1166F10.1
1	gene	ENSG00000227169.2	4611795	4612205	-	RP1-37J18.1
1	gene	ENSG00000232596.1	4631608	4643481	+	RP1-37J18.2
1	gene	ENSG00000196581.6	4714792	4852594	+	AJAP1
1	gene	ENSG00000231510.1	5146519	5150959	-	RP11-542C10.1
1	gene	ENSG00000260972.1	5553038	5554734	+	RP1-58B11.1
1	gene	ENSG00000264341.1	5624131	5624203	+	MIR4417
1	gene	ENSG00000236948.1	5647428	5728355	-	RP11-154H17.1
1	gene	ENSG00000216045.2	5875931	5876019	-	AL356693.1
1	gene	ENSG00000264101.1	5922732	5922801	-	MIR4689
1	gene	ENSG00000131697.13	5922871	6052422	-	NPHP4
1	gene	ENSG00000266687.1	5953899	5953984	-	AL356261.1
1	gene	ENSG00000069424.10	6051526	6161253	+	KCNAB2
1	gene	ENSG00000116254.13	6161853	6240183	-	CHD5
1	gene	ENSG00000116251.5	6241329	6269449	-	RPL22
1	gene	ENSG00000226944.1	6264900	6265840	-	RP1-120G22.11
1	gene	ENSG00000158286.8	6266189	6281252	+	RNF207
1	gene	ENSG00000116237.11	6281360	6296032	-	ICMT
1	gene	ENSG00000225077.2	6296300	6299504	+	LINC00337
1	gene	ENSG00000173673.7	6304252	6305638	+	HES3
1	gene	ENSG00000158292.6	6307406	6321035	-	GPR153
1	gene	ENSG00000097021.15	6324329	6453614	-	ACOT7
1	gene	ENSG00000069812.7	6472478	6484730	-	HES2
1	gene	ENSG00000187017.10	6484848	6521040	+	ESPN
1	gene	ENSG00000265392.1	6489894	6489956	-	MIR4252
1	gene	ENSG00000231868.1	6503094	6507066	-	RP1-202O8.2
1	gene	ENSG00000215788.5	6521211	6526151	-	TNFRSF25
1	gene	ENSG00000171680.16	6526256	6580121	-	PLEKHG5
1	gene	ENSG00000162408.10	6581407	6614595	-	NOL9
1	gene	ENSG00000253022.1	6600914	6601024	+	RNU6-731P
1	gene	ENSG00000229519.2	6607965	6608679	+	RP11-58A11.2
1	gene	ENSG00000173662.15	6615241	6639817	+	TAS1R1
1	gene	ENSG00000204859.7	6640061	6649340	+	ZBTB48
1	gene	ENSG00000162413.12	6650784	6674667	-	KLHL21
1	gene	ENSG00000116273.5	6673745	6684093	+	PHF13
1	gene	ENSG00000041988.11	6684926	6694227	+	THAP3
1	gene	ENSG00000007923.11	6695647	6761984	-	DNAJC11
1	gene	ENSG00000228750.1	6784697	6790072	+	RP11-242F24.1
1	gene	ENSG00000239166.1	6812779	6812881	+	snoU13
1	gene	ENSG00000237436.1	6843952	6844903	-	RP11-312B8.1
1	gene	ENSG00000171735.14	6845384	7829766	+	CAMTA1
1	gene	ENSG00000227950.1	6894393	6894678	-	RP11-312B8.2
1	gene	ENSG00000237365.1	7068436	7074339	-	RP11-334N17.1
1	gene	ENSG00000207056.1	7279420	7279584	+	RNU1-8P
1	gene	ENSG00000237402.1	7429003	7430331	+	CAMTA1-IT1
1	gene	ENSG00000237728.1	7442548	7449814	-	RP3-453P22.2
1	gene	ENSG00000225126.1	7501156	7501614	-	RP4-549F15.1
1	gene	ENSG00000270171.1	7753184	7754904	-	RP11-338N10.1
1	gene	ENSG00000270035.1	7758363	7758932	-	RP11-338N10.2
1	gene	ENSG00000269978.1	7760764	7761030	-	RP11-338N10.3
1	gene	ENSG00000049245.8	7831329	7841492	+	VAMP3
1	gene	ENSG00000269925.1	7836443	7836835	+	RP3-467L1.6
1	gene	ENSG00000049246.10	7844380	7905237	+	PER3
1	gene	ENSG00000236266.1	7870302	7887177	-	RP3-467L1.4
1	gene	ENSG00000049247.9	7906752	7913572	-	UTS2
1	gene	ENSG00000049249.4	7979907	8000926	-	TNFRSF9
1	gene	ENSG00000270330.1	8002432	8002786	+	RP5-892F13.2
1	gene	ENSG00000116288.8	8014351	8045565	+	PARK7
1	gene	ENSG00000200344.1	8042941	8043043	-	Y_RNA
1	gene	ENSG00000116285.8	8064464	8086368	-	ERRFI1
1	gene	ENSG00000238290.1	8086798	8182762	+	RP11-431K24.1
1	gene	ENSG00000232848.1	8117305	8118523	-	CTA-215D11.4
1	gene	ENSG00000229305.1	8249884	8252830	+	RP11-431K24.2
1	gene	ENSG00000200975.1	8266494	8266657	-	RNU1-7P
1	gene	ENSG00000227634.1	8268732	8275270	+	RP11-431K24.3
1	gene	ENSG00000233645.1	8278250	8280589	-	RP11-431K24.4
1	gene	ENSG00000265414.1	8335184	8335438	-	RN7SL729P
1	gene	ENSG00000251977.1	8352217	8352323	-	RNU6-991P
1	gene	ENSG00000162426.10	8377886	8404227	+	SLC45A1
1	gene	ENSG00000252254.1	8388127	8388239	+	Y_RNA
1	gene	ENSG00000142599.13	8412457	8877702	-	RERE
1	gene	ENSG00000232912.1	8484705	8494898	+	RP5-1115A15.1
1	gene	ENSG00000221083.1	8571854	8571978	-	SNORA77
1	gene	ENSG00000270282.1	8572712	8573080	+	RP5-1115A15.2
1	gene	ENSG00000234619.1	8810489	8811146	+	RP4-633I8.1
1	gene	ENSG00000224315.2	8846270	8846972	-	RP4-633I8.2
1	gene	ENSG00000222511.1	8856633	8856731	-	Y_RNA
1	gene	ENSG00000226545.1	8858534	8859565	+	RP4-633I8.3
1	gene	ENSG00000228423.2	8865919	8867110	-	RP4-633I8.4
1	gene	ENSG00000229716.2	8891066	8891434	+	RP11-185B14.1
1	gene	ENSG00000074800.9	8921061	8939308	-	ENO1
1	gene	ENSG00000236269.1	8935847	8938066	-	ENO1-IT1
1	gene	ENSG00000230679.1	8939624	8939953	+	ENO1-AS1
1	gene	ENSG00000201725.1	8943486	8943592	-	RNU6-304P
1	gene	ENSG00000238249.1	8953468	8954210	+	HMGN2P17
1	gene	ENSG00000232208.2	8967452	8967803	-	RP3-477M7.5
1	gene	ENSG00000232663.2	8969801	8969963	+	RP3-477M7.6
1	gene	ENSG00000131686.10	9005926	9035151	+	CA6
1	gene	ENSG00000265141.1	9039637	9039933	-	RN7SL451P
1	gene	ENSG00000197241.3	9063359	9086404	-	SLC2A7
1	gene	ENSG00000142583.13	9095166	9148537	-	SLC2A5
1	gene	ENSG00000252404.1	9142755	9142938	+	SCARNA16
1	gene	ENSG00000180758.10	9160364	9189229	-	GPR157
1	gene	ENSG00000207865.1	9211727	9211836	-	MIR34A
1	gene	ENSG00000228526.2	9242066	9262678	-	RP3-510D11.1
1	gene	ENSG00000234546.2	9242355	9252148	+	RP3-510D11.2
1	gene	ENSG00000049239.8	9294834	9331396	+	H6PD
1	gene	ENSG00000252841.1	9338450	9338592	+	Z98044.1
1	gene	ENSG00000171621.9	9352939	9429591	+	SPSB1
1	gene	ENSG00000252956.1	9497728	9497837	-	RNA5SP40
1	gene	ENSG00000235263.1	9561151	9563530	-	RP13-392I16.1
1	gene	ENSG00000171612.6	9599541	9645237	+	SLC25A33
1	gene	ENSG00000231181.1	9636485	9637043	+	RP13-15M17.1
1	gene	ENSG00000188807.8	9648932	9674935	+	TMEM201
1	gene	ENSG00000171608.11	9711790	9789083	+	PIK3CD
1	gene	ENSG00000179840.5	9712668	9714644	-	C1orf200
1	gene	ENSG00000233268.3	9720886	9722684	-	RP11-558F24.2
1	gene	ENSG00000231789.2	9732484	9747613	-	RP11-558F24.4
1	gene	ENSG00000171603.12	9789173	9884584	-	CLSTN1
1	gene	ENSG00000271264.1	9840880	9841298	+	RP11-558F24.6
1	gene	ENSG00000178585.10	9908334	9970394	-	CTNNBIP1
1	gene	ENSG00000162441.7	9982173	10003465	-	LZIC
1	gene	ENSG00000228150.1	10002981	10010032	+	RP11-84A14.4
1	gene	ENSG00000173614.9	10003486	10045559	+	NMNAT1
1	gene	ENSG00000202415.1	10007376	10007694	+	RN7SKP269
1	gene	ENSG00000265521.1	10027439	10027516	+	MIR5697
1	gene	ENSG00000162444.11	10057264	10076078	+	RBP7
1	gene	ENSG00000225786.2	10078085	10078592	-	AL590639.1
1	gene	ENSG00000130939.14	10092890	10241297	+	UBE4B
1	gene	ENSG00000224340.1	10114503	10114839	-	RP11-496H15.2
1	gene	ENSG00000233623.2	10118729	10119706	+	PGAM1P11
1	gene	ENSG00000201746.1	10223326	10223432	+	RNU6-828P
1	gene	ENSG00000054523.12	10270863	10441661	+	KIF1B
1	gene	ENSG00000264881.1	10287776	10287861	+	MIR1273D
1	gene	ENSG00000199562.1	10359024	10359130	+	RNU6-37P
1	gene	ENSG00000265945.1	10450059	10450353	+	RN7SL721P
1	gene	ENSG00000142657.16	10458649	10480201	+	PGD
1	gene	ENSG00000271989.1	10489938	10490734	-	RP4-736L20.3
1	gene	ENSG00000175279.17	10490840	10502866	+	APITD1
1	gene	ENSG00000241563.2	10509776	10511959	+	CORT
1	gene	ENSG00000160049.7	10516579	10532583	-	DFFA
1	gene	ENSG00000142655.8	10534944	10690815	+	PEX14
1	gene	ENSG00000243267.2	10676893	10677170	+	RN7SL614P
1	gene	ENSG00000130940.10	10696661	10856707	-	CASZ1
1	gene	ENSG00000272078.1	10700117	10714390	+	RP4-734G22.3
1	gene	ENSG00000225158.2	10955818	10956055	+	RP11-340B24.3
1	gene	ENSG00000175262.10	11006530	11042094	-	C1orf127
1	gene	ENSG00000215785.2	11051035	11051854	-	CFL1P6
1	gene	ENSG00000264181.1	11058233	11058320	-	AL713997.1
1	gene	ENSG00000207213.1	11059919	11060002	-	Y_RNA
1	gene	ENSG00000120948.11	11072414	11085796	+	TARDBP
1	gene	ENSG00000009724.12	11086580	11107290	-	MASP2
1	gene	ENSG00000271895.1	11089716	11090585	+	RP4-635E18.8
1	gene	ENSG00000116649.5	11114646	11120081	-	SRM
1	gene	ENSG00000171824.9	11126675	11158213	-	EXOSC10
1	gene	ENSG00000226849.1	11128528	11133154	+	RP4-635E18.7
1	gene	ENSG00000230337.1	11159732	11162157	+	RP4-635E18.6
1	gene	ENSG00000198793.8	11166592	11322564	-	MTOR
1	gene	ENSG00000225602.1	11203955	11209594	+	MTOR-AS1
1	gene	ENSG00000253086.1	11212407	11212509	+	RNU6-537P
1	gene	ENSG00000271794.1	11229564	11229670	-	snoU13
1	gene	ENSG00000171819.4	11249398	11256038	+	ANGPTL7
1	gene	ENSG00000207451.1	11286311	11286417	+	RNU6-291P
1	gene	ENSG00000238173.1	11293020	11293169	+	RPL39P6
1	gene	ENSG00000120942.9	11333263	11356106	+	UBIAD1
1	gene	ENSG00000238199.1	11338673	11339408	-	UBE2V2P3
1	gene	ENSG00000224338.2	11485314	11485878	-	RP11-149P14.1
1	gene	ENSG00000204624.6	11539223	11597641	+	PTCHD2
1	gene	ENSG00000235643.1	11669588	11673412	+	RP1-69M21.2
1	gene	ENSG00000116661.9	11708424	11715842	-	FBXO2
1	gene	ENSG00000132879.9	11714914	11723384	+	FBXO44
1	gene	ENSG00000116663.6	11724181	11734411	+	FBXO6
1	gene	ENSG00000116670.10	11734537	11751707	-	MAD2L2
1	gene	ENSG00000162490.6	11751786	11785914	+	DRAXIN
1	gene	ENSG00000177674.11	11796141	11814859	+	AGTRAP
1	gene	ENSG00000215910.3	11821844	11845346	+	C1orf167
1	gene	ENSG00000177553.6	11837134	11839676	-	RP11-56N19.5
1	gene	ENSG00000177000.6	11845780	11866977	-	MTHFR
1	gene	ENSG00000011021.17	11867188	11903201	+	CLCN6
1	gene	ENSG00000242349.1	11903761	11908136	+	NPPA-AS1
1	gene	ENSG00000175206.6	11905824	11908402	-	NPPA
1	gene	ENSG00000120937.8	11917521	11918988	-	NPPB
1	gene	ENSG00000224904.1	11937827	11940463	+	RP5-934G17.6
1	gene	ENSG00000199347.1	11968209	11968328	+	RNU5E-1
1	gene	ENSG00000201801.1	11969865	11969984	-	RNU5E-4P
1	gene	ENSG00000116685.11	11979648	11986485	-	KIAA2013
1	gene	ENSG00000083444.12	11994262	12035595	+	PLOD1
1	gene	ENSG00000116688.12	12040238	12073571	+	MFN2
1	gene	ENSG00000270914.1	12077273	12077365	-	RP5-1077B9.5
1	gene	ENSG00000116691.6	12079523	12092102	+	MIIP
1	gene	ENSG00000202461.1	12084069	12084181	-	Y_RNA
1	gene	ENSG00000243539.2	12096799	12097071	-	RN7SL649P
1	gene	ENSG00000120949.10	12123434	12204264	+	TNFRSF8
1	gene	ENSG00000201135.1	12137938	12138041	-	RNU6-777P
1	gene	ENSG00000227875.2	12140350	12140604	-	RP11-426M1.2
1	gene	ENSG00000028137.12	12227060	12269285	+	TNFRSF1B
1	gene	ENSG00000263676.1	12251770	12251830	+	MIR4632
1	gene	ENSG00000225196.2	12280851	12281166	-	RP5-1118D24.2
1	gene	ENSG00000252969.1	12281205	12281328	-	SNORA70
1	gene	ENSG00000048707.9	12290124	12572099	+	VPS13D
1	gene	ENSG00000239149.1	12567300	12567451	+	SNORA59A
1	gene	ENSG00000229484.1	12587766	12588462	+	RP5-888M10.2
1	gene	ENSG00000162496.4	12627939	12677737	-	DHRS3
1	gene	ENSG00000221340.1	12630000	12630100	-	RNU6ATAC18P
1	gene	ENSG00000272482.1	12678906	12679250	-	RP11-474O21.5
1	gene	ENSG00000204518.2	12704566	12727097	+	AADACL4
1	gene	ENSG00000226166.2	12752925	12753036	+	RP11-474O21.2
1	gene	ENSG00000188984.7	12776118	12788726	+	AADACL3
1	gene	ENSG00000238771.1	12799693	12799796	+	snoU13
1	gene	ENSG00000157330.5	12806163	12823847	+	C1orf158
1	gene	ENSG00000116726.4	12834984	12838049	+	PRAMEF12
1	gene	ENSG00000116721.9	12851546	12856777	+	PRAMEF1
1	gene	ENSG00000228338.1	12882549	12883022	-	RP5-845O24.8
1	gene	ENSG00000204513.5	12884468	12891264	-	PRAMEF11
1	gene	ENSG00000231103.2	12897978	12901210	-	RP5-845O24.3
1	gene	ENSG00000179172.7	12907261	12908578	-	HNRNPCL1
1	gene	ENSG00000120952.4	12916941	12921764	+	PRAMEF2
1	gene	ENSG00000243073.3	12939045	12946025	-	PRAMEF4
1	gene	ENSG00000187545.5	12952727	12958101	-	PRAMEF10
1	gene	ENSG00000204510.1	12976450	12980569	+	PRAMEF7
1	gene	ENSG00000207434.1	12982374	12982480	+	RNU6-1072P
1	gene	ENSG00000234064.1	12985990	12988081	+	RP11-450I1.2
1	gene	ENSG00000232423.3	12998181	13117751	-	PRAMEF6
1	gene	ENSG00000250894.1	13012966	13015755	-	RP11-450I1.4
